id,name,size.bytecode,size.static
139,"DoAmplitude(int, unsigned char*)",248,992
140,"DoPitch(unsigned char*, int, int)",438,1216
141,"DoSpect(PHONEME_TAB*, PHONEME_TAB*, PHONEME_TAB*, int, PHONEME_LIST*, int)",3256,2640
142,StartSyllable(),101,536
143,EndPitch(int),457,1016
144,DoVoice(voice_t*),173,928
145,"DoSample2(int, int, int, int)",809,1272
146,SmoothSpect(),4156,2552
147,"SpeakNextClause(_IO_FILE*, void const*, int)",2043,2512
148,Translator::Translator(),964,1824
149,Translator::~Translator(),170,952
150,Translator::~Translator(),95,968
151,"lookupwchar(short const*, int)",294,640
152,IsBracket(int),210,944
153,"utf8_out(unsigned int, char*)",666,816
154,"utf8_in(int*, char*, int)",784,904
155,"strchr_w(char const*, int)",171,952
156,LoadConfig(),803,1696
157,PhonemeCode(unsigned int),308,632
158,"Translator::ChangePhonemes(PHONEME_LIST2*, int, int, PHONEME_TAB*, int)",74,576
159,Translator::SubstitutePhonemes(PHONEME_LIST2*),2773,2200
160,"Translator::MakePhonemeList(int, int, int)",9700,4736
161,"Translator::TranslateLetter(char*, char*, int)",1318,2200
162,"Translator::SetSpellingStress(char*, int)",1300,1000
163,"Translator::TranslateWord(char*, int, int, int)",7728,6504
164,"Translator::TranslateWord2(char*, int, int, int, int, int, int)",8512,6096
165,"SetPlist2(PHONEME_LIST2*, unsigned char)",132,600
166,"Translator::TranslateChar(char*, int, int, int)",70,592
167,"Translator::TranslateClause(_IO_FILE*, void const*, int*, char**)",16033,10040
168,EmbeddedCommand(unsigned int&),1143,1552
169,"wcschr[abi:v160000](wchar_t const*, wchar_t) [enable_if:true]",99,912
170,InitText(),279,896
171,Translator_English::Translator_English(),282,1048
172,Translator_English::Unpronouncable(char*),1529,1616
173,Translator_English::~Translator_English(),77,904
174,Translator_English::~Translator_English(),84,952
175,"SetupTranslator(Translator*, int*, int*)",439,760
176,SelectTranslator(char const*),4163,5872
177,Translator_Russian::Translator_Russian(),509,1616
178,"Translator_Russian::ChangePhonemes(PHONEME_LIST2*, int, int, PHONEME_TAB*, int)",1411,1592
179,Translator_Afrikaans::Translator_Afrikaans(),328,1160
180,"Translator_Afrikaans::TranslateChar(char*, int, int, int)",257,1040
181,Translator_Russian::~Translator_Russian(),77,904
182,Translator_Russian::~Translator_Russian(),83,952
183,Translator_Afrikaans::~Translator_Afrikaans(),77,904
184,Translator_Afrikaans::~Translator_Afrikaans(),84,952
185,VoiceReset(),750,896
186,"LoadVoice(char*, int)",8781,8232
187,VoiceLookup(char*),548,1272
188,VoiceFormant(char*),948,1784
189,"PhonemeReplacement(int, char*)",564,1328
190,LookupPh(char const*),592,744
191,"DisplayVoices(_IO_FILE*, espeak_VOICE**, char*)",1435,2368
192,"SetVoiceScores(espeak_VOICE*, espeak_VOICE**)",881,1544
193,"ScoreVoice(espeak_VOICE*, int, int, espeak_VOICE*)",3028,2104
194,"VoiceScoreSorter(void const*, void const*)",234,1016
195,SelectVoice(espeak_VOICE*),269,1128
196,espeak_ListVoices(),962,1576
197,"SelectVoiceByName(espeak_VOICE**, char const*)",826,1784
198,GetVoices(char const*),858,1688
199,"VoiceNameSorter(void const*, void const*)",377,1160
200,"ReadVoiceFile(_IO_FILE*, char const*)",1942,3024
201,espeak_SetVoiceByName(char const*),309,1168
202,WcmdqStop(),45,520
203,WcmdqFree(),149,552
204,WcmdqUsed(),28,832
205,WcmdqInc(),120,536
206,WavegenOpenSound(),12,520
207,WavegenInitSound(),13,520
208,"WavegenInit(int, int)",1269,2184
209,WavegenInitPkData(int),33,536
210,"PeaksToHarmspect(wavegen_peaks_t*, int, int*, int)",3078,1744
211,"SetEmbedded(int, int)",1253,2152
212,"SetWithRange0(int, int)",188,592
213,GetAmplitude(),136,592
214,WavegenSetEcho(),533,1200
215,WavegenSetVoice(voice_t*),160,912
216,"SetPitch(int, unsigned char*, int, int)",799,896
217,"SetSynth(int, int, frame_t*, frame_t*)",4240,2320
218,"OpenWaveFile(char const*, int)",473,1208
219,CloseWaveFile(int),825,1712
220,Wavegen(),7242,3344
221,AdvanceParameters(),2956,1792
222,WavegenFill(int),1568,2600
223,"PlaySilence(int, int)",778,840
224,"PlayWave(int, int, unsigned char*, int, int)",1505,1104
225,"Wavegen2(int, int, int, frame_t*, frame_t*)",154,1016
226,"SetAmplitude(int, unsigned char*, int)",257,648
227,WcmdqIncHead(),121,536
228,WavegenFile(),265,1032
229,std::type_info::~type_info(),41,536
230,__cxxabiv1::__shim_type_info::~__shim_type_info(),77,904
231,__cxxabiv1::__shim_type_info::noop1() const,32,536
232,__cxxabiv1::__shim_type_info::noop2() const,32,536
233,__cxxabiv1::__class_type_info::~__class_type_info(),77,904
234,__cxxabiv1::__class_type_info::~__class_type_info(),94,968
235,__cxxabiv1::__si_class_type_info::~__si_class_type_info(),77,904
236,__cxxabiv1::__si_class_type_info::~__si_class_type_info(),95,968
237,"is_equal(std::type_info const*, std::type_info const*, bool)",317,1160
238,std::type_info::operator==[abi:v160000](std::type_info const&) const,123,600
239,std::type_info::name[abi:v160000]() const,63,552
240,"__cxxabiv1::__class_type_info::can_catch(__cxxabiv1::__shim_type_info const*, void*&) const",700,1432
241,__dynamic_cast,1005,1680
242,"__cxxabiv1::__class_type_info::process_found_base_class(__cxxabiv1::__dynamic_cast_info*, void*, int) const",372,688
243,"__cxxabiv1::__class_type_info::has_unambiguous_public_base(__cxxabiv1::__dynamic_cast_info*, void*, int) const",185,1072
244,"__cxxabiv1::__si_class_type_info::has_unambiguous_public_base(__cxxabiv1::__dynamic_cast_info*, void*, int) const",249,1184
245,"__cxxabiv1::__class_type_info::process_static_type_above_dst(__cxxabiv1::__dynamic_cast_info*, void const*, void const*, int) const",690,760
246,"__cxxabiv1::__class_type_info::process_static_type_below_dst(__cxxabiv1::__dynamic_cast_info*, void const*, int) const",182,600
247,"__cxxabiv1::__si_class_type_info::search_below_dst(__cxxabiv1::__dynamic_cast_info*, void const*, int, bool) const",1113,1848
248,"__cxxabiv1::__class_type_info::search_below_dst(__cxxabiv1::__dynamic_cast_info*, void const*, int, bool) const",657,1384
249,"__cxxabiv1::__si_class_type_info::search_above_dst(__cxxabiv1::__dynamic_cast_info*, void const*, void const*, int, bool) const",308,1280
250,"__cxxabiv1::__class_type_info::search_above_dst(__cxxabiv1::__dynamic_cast_info*, void const*, void const*, int, bool) const",214,1128
251,"void (*std::__2::(anonymous namespace)::__libcpp_atomic_load[abi:v160000]<void (*)()>(void (* const*)(), int))()",55,552
252,std::get_new_handler(),33,832
253,operator new(unsigned long),243,1192
254,operator delete(void*),74,880
255,malloc,12,808
256,dlmalloc,6541,9304
257,free,12,808
258,dlfree,1698,2224
259,calloc,109,984
260,realloc,1131,2192
261,dispose_chunk,1618,2120
262,closedir,17,864
263,fdclosedir,45,984
264,readdir,643,2256
265,close,34,864
266,_Exit,13,792
267,__main_void,214,1400
268,__wasilibc_iftodt,53,552
269,__wasi_args_get,18,816
270,__wasi_args_sizes_get,18,824
271,__wasi_environ_get,18,824
272,__wasi_environ_sizes_get,18,824
273,__wasi_fd_close,16,824
274,__wasi_fd_fdstat_get,18,824
275,__wasi_fd_fdstat_set_flags,18,824
276,__wasi_fd_prestat_get,18,824
277,__wasi_fd_prestat_dir_name,20,824
278,__wasi_fd_read,22,824
279,__wasi_fd_readdir,24,824
280,__wasi_fd_seek,22,824
281,__wasi_fd_write,22,824
282,__wasi_path_filestat_get,30,952
283,__wasi_path_open,38,992
284,__wasi_proc_exit,12,792
285,abort,6,504
286,__wasilibc_nocwd_openat_nomode,283,1240
287,fdopendir,164,1248
288,__wasilibc_nocwd_opendirat,62,960
289,__wasilibc_nocwd_faccessat,210,1160
290,__wasilibc_nocwd_fstatat,425,1488
291,fstatat,54,872
292,__wasilibc_open_nomode,163,1024
293,access,165,1032
294,stat,165,1032
295,opendir,161,1000
296,__wasilibc_stat,165,1040
297,internal_register_preopened_fd,280,1320
298,__wasilibc_find_relpath,95,904
299,__wasilibc_find_abspath,313,1408
300,__wasilibc_populate_preopens,182,1296
301,sbrk,79,888
302,isalnum,24,544
303,isalpha,15,528
304,isdigit,11,528
305,isspace,17,536
306,iswalnum,37,848
307,iswalpha,69,592
308,iswdigit,11,528
309,iswlower,14,848
310,iswpunct,71,584
311,iswspace,30,856
312,iswupper,14,848
313,tolower,20,528
314,towlower,14,824
315,casemap,317,808
316,towupper,13,824
317,__wasilibc_ensure_environ,27,824
318,__wasilibc_initialize_environ,194,1360
319,getenv,154,1120
320,dummy,3,512
321,__wasm_call_dtors,16,864
322,__mo_lookup,584,1648
323,__lctrans_impl,44,888
324,__get_locale,886,2976
325,setlocale,1126,3440
326,__cos,148,1312
327,__rem_pio2_large,4405,7152
328,__rem_pio2,1284,4152
329,__sin,156,1328
330,cos,249,1656
331,__math_invalid,13,528
332,__math_xflow,14,760
333,__math_oflow,20,832
334,__math_uflow,21,832
335,pow,1183,2984
336,checkint,87,600
337,specialcase,204,1208
338,scalbn,175,984
339,__lctrans,13,808
340,__lctrans_cur,57,872
341,__getopt_msg,101,1208
342,getopt,772,1776
343,getopt_long,22,824
344,__getopt_long,1469,2872
345,mblen,16,840
346,mbtowc,340,576
347,dummy,4,512
348,fclose,153,1288
349,feof,15,536
350,fflush,362,1648
351,__stdio_exit,389,1712
352,__toread,134,1056
353,__uflow,85,1032
354,fgetc,48,864
355,fgets,303,1384
356,__fmodeflags,103,1032
357,fcntl,275,1504
358,__isatty,103,968
