id,name,size.bytecode,size.static
216,__wasi_fd_prestat_dir_name,20,824
217,__wasi_fd_read,22,824
218,__wasi_fd_seek,22,824
219,__wasi_fd_write,22,824
220,__wasi_path_open,38,992
221,__wasi_proc_exit,12,792
222,abort,5,504
223,sbrk,79,888
224,tolower,20,528
225,__wasilibc_ensure_environ,27,824
226,__wasilibc_initialize_environ,194,1360
227,getenv,154,1120
228,dummy,3,512
229,__wasm_call_dtors,15,864
230,exit,24,896
231,dummy,4,512
232,fclose,153,1288
233,ferror,15,536
234,fflush,361,1648
235,__fmodeflags,103,1032
236,internal_register_preopened_fd,280,1320
237,__wasilibc_find_relpath,95,904
238,__wasilibc_find_abspath,313,1408
239,__wasilibc_populate_preopens,183,1296
240,__wasilibc_nocwd_openat_nomode,282,1240
241,close,35,864
242,__wasilibc_open_nomode,163,1024
243,fcntl,275,1504
244,__isatty,103,968
245,__lseek,101,976
246,__stdio_seek,18,840
247,writev,115,984
248,__stdio_write,316,1368
249,readv,114,984
250,read,114,984
251,__stdio_read,253,1224
252,__stdio_close,15,840
253,__fdopen,390,1712
254,fopen,102,1112
255,fprintf,57,904
256,__stdio_exit,388,1712
257,__towrite,94,624
258,__overflow,165,1192
259,fputc,70,904
260,__toread,135,1056
261,fread,198,1288
262,__fwritex,234,1368
263,fwrite,278,1384
264,__uflow,85,1032
265,getc,47,864
266,__ofl_lock,9,520
267,__ofl_unlock,3,512
268,__ofl_add,56,952
269,putc,69,904
270,sprintf,56,904
271,sscanf,56,904
272,__stdout_write,60,1008
273,dummy,5,512
274,__lctrans,13,808
275,strerror,87,904
276,wcrtomb,311,856
277,wctomb,26,848
278,frexp,144,1200
279,fputs,38,944
280,vfprintf,398,1568
281,printf_core,9070,18952
282,pop_arg,565,1808
283,pad,159,1168
284,long_double_not_supported,30,856
285,vsnprintf,180,1152
286,sn_write,184,1176
287,vsprintf,21,840
288,__shlim,73,608
289,__shgetc,228,1136
290,__intscan,1636,3464
291,scalbn,176,984
292,fmod,540,912
293,__floatscan,4829,8760
294,hexfloat,1401,3600
295,scanexp,602,1712
296,mbrtowc,368,752
297,mbsinit,20,544
298,vfscanf,3085,9968
299,long_double_not_supported,29,856
300,vsscanf,89,1024
301,string_read,95,1064
302,memchr,371,800
303,memcmp,75,584
304,memcpy,1000,1824
305,memset,393,1200
306,strchr,31,864
307,__strchrnul,354,1144
308,strdup,48,960
309,strlen,179,648
310,strncmp,144,624
311,strnlen,27,880
312,__multi3,116,640
