id,name,size.bytecode,size.static
191,x264_deblock_init,111,800
192,deblock_h_luma_c,21,856
193,deblock_v_luma_c,21,848
194,deblock_h_chroma_c,21,856
195,deblock_h_luma_intra_c,20,848
196,deblock_strength_c,2158,3936
197,deblock_h_chroma_intra_c,19,848
198,deblock_v_chroma_c,21,848
199,deblock_v_luma_intra_c,19,840
200,deblock_v_chroma_intra_c,20,840
201,deblock_luma_c,533,1168
202,deblock_chroma_c,496,1152
203,deblock_luma_intra_c,553,1104
204,deblock_chroma_intra_c,1238,1736
205,x264_plane_copy_c,187,1272
206,x264_frame_init_lowres,833,3360
207,x264_mc_init,406,1080
208,x264_weight_cache,19,544
209,pixel_avg_16x16,432,1576
210,mc_chroma,220,1608
211,get_ref,1221,4048
212,mc_luma,1283,4392
213,mc_copy_w16,257,864
214,frame_init_lowres_core,344,1064
215,memzero_aligned,16,832
216,prefetch_ref_null,3,512
217,prefetch_fenc_null,4,512
218,hpel_filter,587,5432
219,pixel_avg_2x2,345,1016
220,pixel_avg_2x4,699,1536
221,pixel_avg_4x2,637,1536
222,pixel_avg_4x4,1279,2568
223,pixel_avg_4x8,1103,2336
224,pixel_avg_8x4,788,2384
225,pixel_avg_8x8,256,1248
226,pixel_avg_8x16,256,1248
227,pixel_avg_16x8,432,1576
228,mc_copy_w4,177,736
229,mc_copy_w8,176,752
230,mbtree_propagate_cost,114,656
231,integral_init8v,170,1736
232,integral_init4v,264,2520
233,integral_init8h,250,840
234,integral_init4h,226,792
235,pixel_avg_weight_wxh,1183,3080
236,x264_frame_filter,521,2248
237,mc_weight_w2,288,912
238,mc_weight_w4,486,1176
239,mc_weight_w8,882,1696
240,mc_weight_w12,1278,2216
241,mc_weight_w16,1674,2728
242,mc_weight_w20,1000,1840
243,x264_pixel_ssd_wxh,865,2328
244,x264_pixel_ssim_wxh,591,2032
245,x264_pixel_init,1052,2024
246,x264_pixel_sad_x4_4x4,1681,3016
247,x264_pixel_sad_x4_4x8,79,1224
248,x264_pixel_sad_x4_8x4,80,1224
249,x264_pixel_sad_x4_8x8,1190,2200
250,x264_pixel_sad_x4_8x16,1189,2200
251,x264_pixel_sad_x4_16x8,79,1224
252,x264_pixel_sad_x4_16x16,80,1224
253,x264_pixel_sad_x3_4x4,1262,2424
254,x264_pixel_sad_x3_4x8,60,1128
255,x264_pixel_sad_x3_8x4,61,1128
256,x264_pixel_sad_x3_8x8,894,1752
257,x264_pixel_sad_x3_8x16,893,1752
258,x264_pixel_sad_x3_16x8,60,1128
259,x264_pixel_sad_x3_16x16,61,1128
260,x264_pixel_sad_4x4,435,1240
261,x264_pixel_sad_4x8,875,2008
262,x264_pixel_sad_8x4,835,2024
263,x264_pixel_sad_8x8,246,920
264,x264_pixel_sad_8x16,246,920
265,x264_pixel_sad_16x8,446,1272
266,x264_pixel_sad_16x16,445,1272
267,x264_pixel_satd_x4_4x4,80,1224
268,x264_pixel_satd_x4_4x8,164,1512
269,x264_pixel_satd_x4_8x4,80,1224
270,x264_pixel_satd_x4_8x8,165,1512
271,x264_pixel_satd_x4_8x16,331,2112
272,x264_pixel_satd_x4_16x8,327,2104
273,x264_pixel_satd_x4_16x16,79,1224
274,x264_pixel_satd_x3_4x4,60,1128
275,x264_pixel_satd_x3_4x8,127,1336
276,x264_pixel_satd_x3_8x4,60,1128
277,x264_pixel_satd_x3_8x8,128,1336
278,x264_pixel_satd_x3_8x16,258,1816
279,x264_pixel_satd_x3_16x8,252,1816
280,x264_pixel_satd_x3_16x16,61,1128
281,x264_pixel_satd_4x4,663,1416
282,x264_pixel_satd_4x8,45,976
283,x264_pixel_satd_8x4,1170,2496
284,x264_pixel_satd_8x8,44,976
285,x264_pixel_satd_8x16,98,1152
286,x264_pixel_satd_16x8,97,1144
287,x264_pixel_satd_16x16,201,1520
288,x264_pixel_ssd_4x4,307,1080
289,x264_pixel_ssd_4x8,619,1584
290,x264_pixel_ssd_8x4,579,1640
291,x264_pixel_ssd_8x8,182,824
292,x264_pixel_ssd_8x16,182,824
293,x264_pixel_ssd_16x8,318,1072
294,x264_pixel_ssd_16x16,317,1072
295,x264_pixel_ads1,126,640
296,x264_pixel_ads2,165,712
297,x264_pixel_ads4,230,832
298,x264_pixel_hadamard_ac_8x8,44,848
299,x264_pixel_hadamard_ac_8x16,61,968
300,x264_pixel_hadamard_ac_16x8,58,952
301,x264_pixel_hadamard_ac_16x16,91,1072
302,x264_pixel_sa8d_16x16,102,1168
303,x264_pixel_sa8d_8x8,24,832
304,x264_pixel_var_16x16,279,976
305,x264_pixel_var_8x8,941,1912
306,ssim_4x4x2_core,734,1976
307,ssim_end4,320,944
308,pixel_var2_8x8,230,872
309,pixel_hadamard_ac,2669,4360
310,sa8d_8x8,750,1504
311,x264_macroblock_write_cavlc,14091,21304
312,bs_write_te,277,792
313,cavlc_mb_mvd,505,1424
314,bs_write_ue,157,680
315,block_residual_write_cavlc,1790,2872
