global_cache_size,local_cache_size,misses,compilations,evictions,e2e,exec,waiting
2500,2000,15778,2460,0,57214959631,50871862889,6343096742
2500,1750,19748,2460,0,59106543951,50777833583,8328710367
2500,1500,19749,2460,0,59444787756,50841134022,8603653733
2500,1250,24958,2460,0,64363760104,50928033351,13435726753
2500,1000,30854,2460,0,73037359574,50807031925,22230327649
2500,750,31779,2460,0,86448856161,50928574575,35520281586
2500,500,34945,2460,0,124819261516,50997942362,73821319154
2250,2000,38732,7357,5104,64505254028,50898292127,13606961900
2250,1750,41688,7111,4855,66042405519,50827588800,15214816719
2250,1500,40593,7251,4995,65632675331,50881747163,14750928168
2250,1250,42987,5873,3622,69857900587,50810278238,19047622348
2250,1000,37807,3072,822,76555078302,50822073567,25733004735
2250,750,44692,3782,1532,100968004958,51060094455,49907910502
2250,500,38256,2774,524,135470846795,51035473026,84435373769
2000,2000,46690,10785,8782,68519616245,50894856180,17624760065
2000,1750,59714,12255,10252,70486276579,50991146854,19495129724
2000,1500,66665,13065,11065,73388518059,50827346010,22561172049
2000,1250,65288,9916,7916,78807221212,50832103962,27975117250
2000,1000,61162,6825,4825,86528929444,50875848452,35653080991
2000,750,57810,6893,4893,102199599504,50919641111,51279958392
2000,500,52341,6342,4342,141428149153,51052988946,90375160206
1750,2000,70050,17959,16207,72139918311,50886987733,21252930578
1750,1750,81259,17715,15964,74764191804,50832897411,23931294392
1750,1500,82450,17234,15484,74985337739,50865742127,24119595611
1750,1250,91836,17253,15493,80923870854,50879692465,30044178388
1750,1000,89751,11108,9357,91285120094,50987792495,40297327599
1750,750,94635,14599,12849,112852317398,51067745838,61784571559
1750,500,129853,18444,16694,200002641124,51038943467,148963697657
1500,2000,74373,19443,17939,73068911537,51013234335,22055677202
1500,1750,84802,20322,18818,75832676762,50852880221,24979796540
1500,1500,84896,19053,17549,76416391988,50846885536,25569506452
1500,1250,99932,19180,17680,82693296716,50804183227,31889113489
1500,1000,113105,21397,19897,104465199999,50883008889,53582191110
1500,750,224537,28987,27485,193624376200,51188767257,142435608942
1500,500,340429,37230,35730,365722488603,51125495957,314596992646
2500,2000,15639,2460,0,57362558247,51057209843,6305348404
2500,1750,19324,2460,0,59211071451,50950047281,8261024169
2500,1500,20151,2460,0,59466675034,50793511309,8673163725
2500,1250,24954,2460,0,64616141687,50740927948,13875213738
2500,1000,30898,2460,0,72905229325,50791165996,22114063329
2500,750,31431,2460,0,86773322601,50919524317,35853798283
2500,500,35089,2460,0,124322255667,51040739564,73281516103
2250,2000,38634,7179,4926,64774016287,50893012151,13881004135
2250,1750,41513,6512,4257,65608896310,50968742596,14640153714
2250,1500,40799,6052,3797,65671813078,50867296933,14804516145
2250,1250,45673,4869,2619,72192246932,50753087336,21439159595
2250,1000,39191,3701,1451,76295192371,50810708611,25484483760
2250,750,42153,3307,1057,102282615185,50890051736,51392563449
2250,500,38840,2729,479,134602261826,51033069040,83569192786
2000,2000,48610,11386,9386,68972413062,51059355755,17913057307
2000,1750,66441,13218,11216,74348448681,50851215324,23497233357
2000,1500,62300,11155,9153,74111840155,50829415350,23282424805
2000,1250,76777,12028,10027,80373447902,50828751807,29544696094
2000,1000,65274,7025,5025,87813501426,50879891612,36933609813
2000,750,55721,5642,3642,110500749360,50962215925,59538533434
2000,500,55226,6109,4109,156739008419,51024599118,105714409300
1750,2000,69452,18046,16294,71852570402,51048217054,20804353348
1750,1750,81050,18647,16877,75897277048,50823224311,25074052737
1750,1500,83273,17905,16149,75154016662,50898942798,24255073863
1750,1250,93506,17756,16005,80808616476,50998373425,29810243050
1750,1000,87653,12583,10833,90735593643,50885562786,39850030857
1750,750,113248,18380,16630,127567752435,50963922246,76603830188
1750,500,101778,11855,10105,157966041168,51022722097,106943319070
1500,2000,73695,18812,17310,72203821404,50795208277,21408613126
1500,1750,86826,19952,18446,76203631569,50753933893,25449697675
1500,1500,86989,19570,18066,76111475774,50878598868,25232876905
1500,1250,100015,19619,18119,84440559050,50855136487,33585422562
1500,1000,114666,18301,16801,108275739443,50871955570,57403783873
1500,750,219710,27505,26004,171085960641,51048358002,120037602638
1500,500,321660,31799,30299,378673738063,51083461899,327590276164
2500,2000,15623,2460,0,57294042320,50837744965,6456297354
2500,1750,19187,2460,0,59084145313,50807530189,8276615123
2500,1500,19913,2460,0,59602058387,50827115802,8774942584
2500,1250,25006,2460,0,64518335639,50746906449,13771429189
2500,1000,30685,2460,0,72824552052,50763349408,22061202644
2500,750,32180,2460,0,87197028229,50887556743,36309471485
2500,500,34163,2460,0,124898281390,51018857638,73879423752
2250,2000,38555,7353,5100,64533421202,50945502036,13587919166
2250,1750,41790,6898,4643,65232659074,50799742937,14432916137
2250,1500,39809,5734,3479,65886979775,50987431995,14899547779
2250,1250,36700,5184,2934,68466184523,50883435433,17582749090
2250,1000,36890,3004,754,76719167659,50841473809,25877693849
2250,750,39452,3357,1107,99081777947,51083263883,47998514064
2250,500,38683,2735,485,134980950229,51038757809,83942192420
2000,2000,48122,10937,8936,68489950174,51059425905,17430524268
2000,1750,67850,14873,12873,72646798579,50854033544,21792765035
2000,1500,64511,13134,11133,74160978889,50837521362,23323457527
2000,1250,72663,10285,8285,81378126781,50845306272,30532820508
2000,1000,60675,6525,4525,85264528740,50912154229,34352374510
2000,750,53940,6189,4189,109529687342,50914617587,58615069754
2000,500,52789,6059,4059,141354780727,50976741663,90378039063
1750,2000,71390,18084,16331,72288390471,50934198955,21354191515
1750,1750,81293,17423,15670,74509797621,50824195097,23685602523
1750,1500,78539,16467,14717,74403184041,50875506213,23527677827
1750,1250,92693,17267,15506,80770356490,50828363246,29941993243
1750,1000,91067,12209,10459,89753461236,50908366113,38845095122
1750,750,111886,15535,13785,122133931083,50916780670,71217150412
1750,500,119799,17852,16102,176136590521,51048812226,125087778295
1500,2000,75043,19503,17997,72379306634,51033852470,21345454164
1500,1750,85102,19132,17631,75953079128,50825491738,25127587389
1500,1500,84458,18997,17494,76264556341,51000603005,25263953335
1500,1250,101417,19958,18457,84155698245,50897082629,33258615616
1500,1000,116019,21044,19543,104088345964,50853581921,53234764043
1500,750,227267,29064,27563,198346676075,51010871347,147335804727
1500,500,329225,31240,29736,378594358010,51105691191,327488666819
2500,2000,15632,2460,0,57260423869,50820961576,6439462293
2500,1750,19404,2460,0,59104614124,50779221564,8325392560
2500,1500,19973,2460,0,59580476014,50852372489,8728103525
2500,1250,24616,2460,0,64477002630,50814569728,13662432902
2500,1000,30675,2460,0,72762420034,50789298128,21973121906
2500,750,32090,2460,0,86550661685,50884588682,35666073002
2500,500,35744,2460,0,125672893702,50965546256,74707347446
2250,2000,31934,6611,4361,62272036733,50932517443,11339519289
2250,1750,42418,6711,4456,65662681300,50864882554,14797798746
2250,1500,40209,5971,3716,65644194256,50829282963,14814911293
2250,1250,37450,5308,3058,69057608822,50763878822,18293729999
2250,1000,37796,3424,1174,75856410743,50800007020,25056403723
2250,750,40580,3330,1080,104759892338,50878446852,53881445486
2250,500,37909,2771,521,135226362406,51164153023,84062209383
2000,2000,48103,11645,9645,68698741501,50897585407,17801156093
2000,1750,68416,13985,11981,74005858555,50854543740,23151314815
2000,1500,67395,12612,10607,74625524898,51023842870,23601682027
2000,1250,69341,10377,8377,79719666025,50810289221,28909376804
2000,1000,61892,8294,6294,86294781885,50859027333,35435754551
2000,750,63321,7856,5856,103817543247,50876658772,52940884475
2000,500,53633,6054,4053,149774967319,51052725714,98722241604
1750,2000,68077,16955,15204,71247173820,51029549891,20217623929
1750,1750,81952,19229,17473,75053971004,50838395979,24215575024
1750,1500,83392,18338,16584,75160806406,50896041791,24264764615
1750,1250,92019,17270,15509,81000566855,50852189593,30148377262
1750,1000,92108,12773,11023,91830317601,50856429470,40973888130
1750,750,106135,14268,12518,118867084199,50914374973,67952709226
1750,500,94847,13512,11762,156299611063,51046560920,105253050142
1500,2000,73460,19082,17578,72518791420,50989606179,21529185241
1500,1750,84080,18068,16568,76145829731,50812646618,25333183113
1500,1500,87770,19984,18478,76725294064,50964967035,25760327028
1500,1250,101484,19796,18295,84900075887,50863696377,34036379510
1500,1000,115753,19433,17933,102147130954,50857721058,51289409895
1500,750,219789,27832,26331,189675868118,50998249068,138677619049
1500,500,339690,37240,35736,361816623807,51284592343,310532031463
2500,2000,15499,2460,0,57251572858,50875137787,6376435071
2500,1750,19368,2460,0,59051278381,50800613914,8250664466
2500,1500,20060,2460,0,59635275233,50829158243,8806116989
2500,1250,24855,2460,0,64492515933,50933149210,13559366723
2500,1000,30579,2460,0,72597862069,50812208822,21785653247
2500,750,32273,2460,0,87245055933,50881142640,36363913293
2500,500,34879,2460,0,127520326298,51185971595,76334354703
2250,2000,38288,7293,5040,64585998758,50879646779,13706351978
2250,1750,38354,5858,3605,65699076453,50945479651,14753596801
2250,1500,38123,5234,2984,66009833941,50887037224,15122796716
2250,1250,39299,5850,3600,68863358461,50826627708,18036730753
2250,1000,39655,4006,1756,76643446307,50776586715,25866859592
2250,750,40610,3351,1101,99487501344,50878034968,48609466375
2250,500,39328,2714,464,133340285484,51152028655,82188256829
2000,2000,50479,11688,9687,68114658704,50910864982,17203793721
2000,1750,69548,13066,11063,74071542109,50817945998,23253596110
2000,1500,69307,13518,11516,74345272069,50839214222,23506057847
2000,1250,67990,10342,8342,78907690585,50902461184,28005229401
2000,1000,69268,7222,5222,87353997002,51044612886,36309384116
2000,750,59331,6306,4306,114644666774,50922559286,63722107488
2000,500,53760,5775,3775,149774242790,51032552492,98741690297
1750,2000,69565,17298,15545,71840230119,50886421385,20953808734
1750,1750,79507,17621,15868,75780396586,50817659827,24962736758
1750,1500,83107,18141,16390,75372159334,50822937092,24549222241
1750,1250,92996,16657,14907,81686112688,50841078659,30845034029
1750,1000,82230,11057,9306,93851984706,51006865706,42845118999
1750,750,122441,15727,13977,134394626504,50953126427,83441500076
1750,500,110144,15399,13649,180974229547,51062010809,129912218737
1500,2000,74570,19777,18273,72853601941,50917915779,21935686161
1500,1750,87678,20266,18760,76242785226,50862929076,25379856150
1500,1500,87916,20132,18629,76662210420,50856623886,25805586533
1500,1250,98889,19102,17602,82465340060,50826849359,31638490701
1500,1000,117983,18933,17433,105243983444,50868352499,54375630944
1500,750,223217,29390,27889,187445866516,51174507953,136271358563
1500,500,330082,34159,32659,363706349827,51045092986,312661256841
