compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
predictive.lstm-50;2500;2500;18704;2460;0;78054047661;53808896041;24245151620;None
jit;2500;2500;23484;2460;0;115476652873;55264092852;60212560021;None
predictive.lstm-50;2500;2250;18016;2460;0;77087562283;53306063665;23781498618;None
jit;2500;2250;23631;2460;0;114891307505;53999636672;60891670833;None
predictive.lstm-50;2500;2000;16857;2460;0;76692290746;53343187066;23349103680;None
jit;2500;2000;22797;2460;0;113415755553;54167882024;59247873529;None
predictive.lstm-50;2500;1750;17955;2460;0;83847841038;53719552141;30128288897;None
jit;2500;1750;23678;2460;0;115775438334;55354326910;60421111424;None
predictive.lstm-50;2500;1500;18052;2460;0;87426433035;55399085068;32027347967;None
jit;2500;1500;23701;2460;0;115277143139;54400032816;60877110323;None
predictive.lstm-50;2500;1250;18436;2460;0;97489932942;54921222544;42568710397;None
jit;2500;1250;23786;2460;0;116298649008;55188390764;61110258243;None
predictive.lstm-50;2500;1000;19064;2460;0;108759379270;54161729615;54597649655;None
jit;2500;1000;23936;2460;0;115383421575;54252743368;61130678207;None
predictive.lstm-50;2500;750;18517;2460;0;121266679122;55686392492;65580286629;None
jit;2500;750;22364;2460;0;113125633806;54149095624;58976538181;None
predictive.lstm-50;2500;500;17302;2460;0;140209363766;54963519404;85245844362;None
jit;2500;500;23747;2460;0;117098232591;55310440764;61787791827;None
predictive.lstm-50;2250;2500;18762;2460;197;77982513070;53701833950;24280679120;None
jit;2250;2500;23730;2460;210;115969903043;55530667813;60439235230;None
predictive.lstm-50;2250;2250;17706;2460;210;78848165284;54699373971;24148791312;None
jit;2250;2250;23519;2460;210;115323132796;54803290055;60519842741;None
predictive.lstm-50;2250;2000;18094;2460;210;78678964177;54533951720;24145012457;None
jit;2250;2000;23565;2460;210;114454508679;54020862653;60433646026;None
predictive.lstm-50;2250;1750;19432;2508;258;86741503283;53873894460;32867608822;None
jit;2250;1750;23663;2460;210;115895206006;55439905756;60455300249;None
predictive.lstm-50;2250;1500;18309;2501;251;85309499712;53687898793;31621600919;None
jit;2250;1500;23575;2460;210;114624421116;54203986649;60420434467;None
predictive.lstm-50;2250;1250;17449;2526;262;93002917804;53683162340;39319755464;None
