compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
jit;1000;2000;19117;11542;10542;152772412888;83489312786;69283100102;None
predictive.lstm-50;1000;1500;23727;23199;22185;112943556018;82089275475;30854280543;None
jit;1000;1500;19920;12109;11109;155906632332;83576938896;72329693436;None
predictive.lstm-50;1000;1000;36324;30417;29408;161371584868;84382389262;76989195605;None
jit;1000;1000;20039;11900;10900;158707952109;84347596675;74360355433;None
predictive.lstm-50;1000;500;212921;83506;82494;607311241028;94191941743;513119299285;None
jit;1000;500;30021;15001;14001;229446721594;91624825345;137821896249;None
predictive.lstm-50;500;2500;24339;24334;23783;107652037647;81452870369;26199167277;None
jit;500;2500;22107;20219;19719;163671672224;84370597258;79301074966;None
predictive.lstm-50;500;2000;24430;24430;23879;107792317423;81540584399;26251733024;None
jit;500;2000;22143;20200;19700;162811307331;83999782020;78811525310;None
predictive.lstm-50;500;1500;25534;24278;23771;116328253353;82326086186;34002167166;None
jit;500;1500;22226;20268;19768;163190379311;84021858650;79168520661;None
predictive.lstm-50;500;1000;64040;50669;50160;195658988566;85011661632;110647326933;None
jit;500;1000;25722;22401;21900;177063367755;85091241797;91972125957;None
predictive.lstm-50;500;500;363459;145625;145075;848773666601;96418321522;752355345079;None
jit;500;500;84268;37988;37488;500485038901;94197583037;406287455863;None
predictive.lstm-50;2500;2500;4051;2460;0;86983286204;80998431146;5984855057;None
jit;2500;2500;9565;2460;0;126487699847;83349087168;43138612679;None
predictive.lstm-50;2500;2000;3996;2460;0;87171970290;81051087365;6120882925;None
jit;2500;2000;9488;2460;0;126199816371;83757950424;42441865946;None
predictive.lstm-50;2500;1500;4418;2460;0;91662551502;81905757824;9756793677;None
jit;2500;1500;9432;2460;0;126443327353;83888273151;42555054201;None
predictive.lstm-50;2500;1000;6394;2460;0;120533962562;84877236962;35656725599;None
jit;2500;1000;9475;2460;0;127782480522;83736901076;44045579445;None
predictive.lstm-50;2500;500;8969;2460;0;185490822969;93510795646;91980027323;None
jit;2500;500;9788;2460;0;157013905644;91342454591;65671451053;None
predictive.lstm-50;2000;2500;16141;11457;9448;100978560508;81341310976;19637249531;None
jit;2000;2500;14036;4688;2688;140214205139;83538432173;56675772966;None
predictive.lstm-50;2000;2000;16247;11510;9510;101235599408;81542298267;19693301140;None
jit;2000;2000;14018;4673;2673;139623148410;83390829156;56232319253;None
predictive.lstm-50;2000;1500;15638;11034;9034;106859463391;82197097804;24662365587;None
jit;2000;1500;14019;4674;2674;140139804230;83887329424;56252474805;None
predictive.lstm-50;2000;1000;10613;5622;3614;131586778244;84646522861;46940255383;None
jit;2000;1000;13468;4453;2453;141557832744;84137762141;57420070602;None
predictive.lstm-50;2000;500;10196;3127;1123;187740520812;95000344727;92740176085;None
jit;2000;500;11826;3875;1875;161418691453;92816044278;68602647175;None
predictive.lstm-50;1500;2500;16697;11594;10074;101170413651;81422234535;19748179116;None
jit;1500;2500;15470;5501;4001;143077105175;83296488085;59780617089;None
predictive.lstm-50;1500;2000;16739;11650;10111;101782026937;82006271525;19775755412;None
jit;1500;2000;15446;5755;4255;144427435552;83543046620;60884388931;None
predictive.lstm-50;1500;1500;19558;17080;15565;107116616306;82351253707;24765362599;None
jit;1500;1500;16687;6835;5335;148601157982;83868477939;64732680042;None
