compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
predictive.lstm-50;2400;2500;3993;2460;40;87110279777;81147790232;5962489545;None
jit;2400;2500;9208;2460;60;127533112249;85453711644;42079400605;None
predictive.lstm-50;2400;2000;3979;2460;41;87739475321;81621460477;6118014843;None
jit;2400;2000;9357;2460;60;126827999703;84129355572;42698644130;None
predictive.lstm-50;2400;1500;4365;2460;60;91653775157;81846115572;9807659584;None
jit;2400;1500;9454;2460;60;126301955987;83455498481;42846457505;None
predictive.lstm-50;2400;1000;6327;2460;60;119948478287;84526848462;35421629825;None
jit;2400;1000;9608;2460;60;128863627840;84103810128;44759817712;None
predictive.lstm-50;2400;500;8995;2460;60;185398751357;93486897787;91911853569;None
jit;2400;500;9878;2460;60;156801169365;91319791294;65481378070;None
predictive.lstm-50;2300;2500;7795;4968;2654;91947657995;81318191760;10629466234;None
jit;2300;2500;9463;2460;160;125893361474;83065169514;42828191959;None
predictive.lstm-50;2300;2000;7899;5069;2759;92462673154;81185271600;11277401553;None
jit;2300;2000;9330;2460;160;125068619087;83268807618;41799811468;None
predictive.lstm-50;2300;1500;8280;4805;2505;98912213777;82085088259;16827125517;None
jit;2300;1500;9402;2460;160;125818223445;83505550096;42312673349;None
predictive.lstm-50;2300;1000;6514;2682;382;121629107043;84588579256;37040527787;None
jit;2300;1000;9294;2461;161;128870376618;85035346081;43835030537;None
predictive.lstm-50;2300;500;9005;2460;160;185820954731;93726565294;92094389436;None
jit;2300;500;9759;2462;162;156375386596;91185873134;65189513461;None
predictive.lstm-50;2200;2500;11037;7123;4912;95879882874;81413979859;14465903015;None
jit;2200;2500;11210;4290;2090;130959650758;83603916948;47355733809;None
predictive.lstm-50;2200;2000;11084;7153;4942;95939189256;81328755593;14610433662;None
jit;2200;2000;11563;4476;2276;131238995226;83775913999;47463081227;None
predictive.lstm-50;2200;1500;8372;4984;2784;99153538740;81903153188;17250385551;None
jit;2200;1500;11409;4333;2133;131640084440;83681031150;47959053290;None
predictive.lstm-50;2200;1000;7949;3931;1724;124922157359;84640238491;40281918868;None
jit;2200;1000;10527;3678;1478;130244995061;83999592402;46245402658;None
predictive.lstm-50;2200;500;9015;2460;260;185689047347;93677532603;92011514744;None
jit;2200;500;9651;2464;264;155564143312;91211248870;64352894441;None
predictive.lstm-50;2100;2500;11158;7218;5107;96029980739;81376764402;14653216336;None
jit;2100;2500;12886;4581;2481;136014200612;83564346196;52449854415;None
predictive.lstm-50;2100;2000;11040;7216;5104;96671105395;81886597851;14784507543;None
jit;2100;2000;12582;4404;2304;136412167082;83641433308;52770733773;None
predictive.lstm-50;2100;1500;13464;9028;6928;106207717122;82257637095;23950080027;None
jit;2100;1500;13054;4673;2573;137880241789;83713030585;54167211203;None
predictive.lstm-50;2100;1000;8717;4208;2102;129424593803;84733751194;44690842609;None
jit;2100;1000;12472;4303;2203;137712044018;84071986675;53640057343;None
predictive.lstm-50;2100;500;9074;2462;362;185317854460;93337413534;91980440926;None
jit;2100;500;10976;3588;1488;158899380488;91351917482;67547463005;None
predictive.lstm-50;2000;2500;15954;11458;9450;101001541093;81514934250;19486606843;None
jit;2000;2500;14091;4669;2669;140682093896;83539049841;57143044055;None
predictive.lstm-50;2000;2000;16128;11505;9472;101342629529;81576681618;19765947910;None
jit;2000;2000;14126;4671;2671;141245091642;83582132194;57662959447;None
predictive.lstm-50;2000;1500;15663;11021;9021;108257270214;82166034555;26091235658;None
jit;2000;1500;14011;4672;2672;140949691265;84543343409;56406347855;None
predictive.lstm-50;2000;1000;11045;5717;3709;132085183705;85037466125;47047717580;None
jit;2000;1000;13463;4451;2451;141474243336;84095700270;57378543065;None
predictive.lstm-50;2000;500;10467;3141;1137;187474068883;93690248022;93783820861;None
jit;2000;500;11707;3862;1862;160280270280;91375006023;68905264256;None
predictive.lstm-50;2500;2500;4050;2460;0;87009664476;80960797015;6048867460;None
jit;2500;2500;9252;2460;0;126447712571;84865006271;41582706300;None
predictive.lstm-50;2500;2000;3979;2460;0;87199311156;81068292258;6131018897;None
jit;2500;2000;9109;2460;0;124104182258;83304345528;40799836729;None
predictive.lstm-50;2500;1500;4494;2460;0;92072566176;81933792406;10138773770;None
jit;2500;1500;9557;2460;0;126479798043;83456150902;43023647141;None
predictive.lstm-50;2500;1000;6367;2460;0;120010558702;84568930903;35441627799;None
jit;2500;1000;9544;2460;0;128321058753;83931092702;44389966051;None
predictive.lstm-50;2500;500;8944;2460;0;185363489852;93629681083;91733808769;None
jit;2500;500;9561;2460;0;155528860400;91426272762;64102587638;None
predictive.lstm-50;2400;2500;3947;2460;40;86783738499;80879898302;5903840197;None
jit;2400;2500;9516;2460;60;125683408382;83262909218;42420499163;None
predictive.lstm-50;2400;2000;4011;2460;54;87288278177;81136904028;6151374148;None
jit;2400;2000;9595;2460;60;126201577210;83436726947;42764850263;None
predictive.lstm-50;2400;1500;4360;2460;60;91464659595;81714957345;9749702250;None
jit;2400;1500;9496;2460;60;125780901026;83345821686;42435079339;None
predictive.lstm-50;2400;1000;6286;2460;60;119709340852;84464804397;35244536454;None
jit;2400;1000;9749;2460;60;130165749092;83998380979;46167368113;None
predictive.lstm-50;2400;500;8906;2460;60;185420626644;93410657978;92009968665;None
jit;2400;500;9655;2460;60;155432024194;91169807235;64262216958;None
predictive.lstm-50;2300;2500;7792;4952;2641;91903184193;81290392713;10612791480;None
jit;2300;2500;9479;2460;160;125619385000;83440494092;42178890907;None
predictive.lstm-50;2300;2000;7838;4958;2649;92120858143;81211090936;10909767207;None
jit;2300;2000;9303;2460;160;125377991875;83385314895;41992676979;None
predictive.lstm-50;2300;1500;8349;4758;2458;99182870013;81940282388;17242587625;None
jit;2300;1500;9447;2460;160;126079997053;83412996099;42667000954;None
predictive.lstm-50;2300;1000;6548;2656;356;122081628274;84443186802;37638441472;None
jit;2300;1000;9590;2461;161;128138436889;83765790868;44372646021;None
predictive.lstm-50;2300;500;9001;2460;160;185097733775;93563573267;91534160507;None
jit;2300;500;9522;2462;162;156061823196;91942708410;64119114786;None
predictive.lstm-50;2200;2500;10980;7146;4935;95800723441;81399461330;14401262111;None
jit;2200;2500;11338;4483;2283;129601816686;83416980420;46184836266;None
predictive.lstm-50;2200;2000;10995;7165;4949;95912294751;81444621129;14467673622;None
jit;2200;2000;10974;4167;1967;129279539132;83559242201;45720296931;None
predictive.lstm-50;2200;1500;8290;4971;2771;99319155523;82371062596;16948092927;None
jit;2200;1500;10881;3999;1799;129587684575;83653378987;45934305587;None
predictive.lstm-50;2200;1000;7668;3537;1331;124951717340;84582636103;40369081236;None
jit;2200;1000;10118;3133;933;130667649132;84868608653;45799040478;None
predictive.lstm-50;2200;500;8967;2460;260;185541772762;93473483750;92068289011;None
jit;2200;500;9696;2464;264;155349991134;91255471716;64094519418;None
predictive.lstm-50;2100;2500;11071;7218;5107;95898692848;81400990616;14497702232;None
jit;2100;2500;12868;4548;2448;136165958966;83474929872;52691029094;None
predictive.lstm-50;2100;2000;11056;7218;5107;96089803399;81389876325;14699927074;None
jit;2100;2000;13093;4675;2575;136111495134;83643905849;52467589285;None
predictive.lstm-50;2100;1500;13355;9006;6906;107839024131;84265237939;23573786192;None
jit;2100;1500;13124;4556;2456;138051910610;83833122589;54218788021;None
predictive.lstm-50;2100;1000;8695;4208;2102;128890390310;84681254131;44209136179;None
jit;2100;1000;12549;4348;2248;137491810966;84201320936;53290490030;None
predictive.lstm-50;2100;500;9039;2471;371;185763755669;93659676986;92104078683;None
jit;2100;500;10809;3592;1492;158482379021;91430789429;67051589591;None
predictive.lstm-50;2000;2500;16255;11441;9427;101129816388;81317578339;19812238048;None
jit;2000;2500;14022;4681;2681;140433568771;84266077796;56167490975;None
predictive.lstm-50;2000;2000;16150;11501;9501;101167058724;81334507361;19832551363;None
jit;2000;2000;14123;4670;2670;140728491764;83451010323;57277481441;None
predictive.lstm-50;2000;1500;15731;11062;9062;107035842686;82268992987;24766849699;None
jit;2000;1500;14166;4671;2671;141301710212;83791326466;57510383745;None
predictive.lstm-50;2000;1000;10886;5709;3705;131307911137;84723707314;46584203822;None
jit;2000;1000;13635;4451;2451;140750428937;84265825452;56484603485;None
predictive.lstm-50;2000;500;10215;3118;1114;186952976788;93561741637;93391235150;None
jit;2000;500;11790;3817;1817;160627293747;91448447293;69178846453;None
predictive.lstm-50;2500;2500;4129;2460;0;87085252801;81046551830;6038700970;None
jit;2500;2500;9464;2460;0;125403724485;83293182489;42110541996;None
predictive.lstm-50;2500;2000;3930;2460;0;87095013183;81038337678;6056675504;None
jit;2500;2000;9320;2460;0;125225582360;83229877032;41995705328;None
predictive.lstm-50;2500;1500;4549;2460;0;91937776651;81711399632;10226377018;None
jit;2500;1500;9541;2460;0;126284279349;83369446638;42914832710;None
predictive.lstm-50;2500;1000;6425;2460;0;120446131656;84616406713;35829724943;None
jit;2500;1000;9519;2460;0;128730128122;83878746731;44851381391;None
predictive.lstm-50;2500;500;9023;2460;0;185853738485;93671279527;92182458957;None
jit;2500;500;9499;2460;0;156486003131;92858027299;63627975832;None
predictive.lstm-50;2400;2500;4091;2460;46;87109394214;81137607412;5971786801;None
jit;2400;2500;9492;2460;60;125597319754;83296943652;42300376101;None
predictive.lstm-50;2400;2000;3974;2460;54;87231157714;81022703803;6208453911;None
jit;2400;2000;9361;2460;60;125104117627;83201214337;41902903290;None
predictive.lstm-50;2400;1500;4462;2460;60;91872378755;81871752926;10000625829;None
jit;2400;1500;9637;2460;60;126235045975;83248304496;42986741479;None
predictive.lstm-50;2400;1000;6369;2460;60;120306137363;84516325602;35789811761;None
jit;2400;1000;9455;2460;60;128058650398;83881242303;44177408094;None
predictive.lstm-50;2400;500;8938;2460;60;184937877632;93642395406;91295482226;None
jit;2400;500;9613;2460;60;155450195469;91198497988;64251697481;None
predictive.lstm-50;2300;2500;7892;5070;2757;92205375714;81139908156;11065467558;None
jit;2300;2500;9362;2460;160;125776393022;83337012282;42439380740;None
predictive.lstm-50;2300;2000;7759;4960;2645;92097109607;81210041796;10887067811;None
jit;2300;2000;9452;2460;160;124905049589;83206243660;41698805929;None
predictive.lstm-50;2300;1500;7300;4222;1922;98076051331;81894070624;16181980707;None
jit;2300;1500;9653;2460;160;126929692647;83429723758;43499968888;None
predictive.lstm-50;2300;1000;6543;2682;382;121698736113;84384989222;37313746890;None
jit;2300;1000;9540;2461;161;127989034202;84046280128;43942754073;None
predictive.lstm-50;2300;500;9007;2460;160;186101486396;93689867659;92411618737;None
jit;2300;500;9645;2462;162;157146605355;91913867624;65232737730;None
predictive.lstm-50;2200;2500;10925;7157;4946;95709481652;81403554016;14305927635;None
jit;2200;2500;11117;4107;1907;130560525242;83580355965;46980169276;None
predictive.lstm-50;2200;2000;11036;7167;4956;96116491266;81569260597;14547230669;None
jit;2200;2000;10761;4139;1939;129079112566;83712459404;45366653162;None
predictive.lstm-50;2200;1500;8553;5039;2839;99484264294;81912792000;17571472293;None
jit;2200;1500;11316;4317;2117;130712859109;83692301857;47020557252;None
predictive.lstm-50;2200;1000;7911;3935;1728;125168169991;84882419059;40285750931;None
jit;2200;1000;10363;3473;1273;130294292530;84397354047;45896938482;None
predictive.lstm-50;2200;500;8934;2460;260;185459887589;93643991997;91815895591;None
jit;2200;500;9834;2464;264;156863925078;91388799708;65475125370;None
predictive.lstm-50;2100;2500;11108;7217;5106;95942692947;81299129295;14643563651;None
jit;2100;2500;12959;4545;2445;136904867022;83659964301;53244902720;None
predictive.lstm-50;2100;2000;10964;7218;5107;96673887805;82217057484;14456830320;None
jit;2100;2000;12663;4341;2241;135506611607;83544290808;51962320798;None
predictive.lstm-50;2100;1500;13190;8654;6554;103513646292;82219553981;21294092310;None
jit;2100;1500;12578;4268;2168;135325065872;83663187816;51661878055;None
predictive.lstm-50;2100;1000;8726;4261;2155;129318161252;84887397984;44430763267;None
jit;2100;1000;12523;4348;2248;137955787520;84118294118;53837493402;None
predictive.lstm-50;2100;500;9040;2471;371;185525192181;93520792444;92004399736;None
jit;2100;500;10818;3597;1497;157693985989;91375436671;66318549318;None
predictive.lstm-50;2000;2500;15982;11447;9427;101196995089;81540868268;19656126821;None
jit;2000;2500;14100;4669;2669;140340891826;83679158348;56661733478;None
predictive.lstm-50;2000;2000;16052;11502;9476;101453304747;81687159921;19766144826;None
jit;2000;2000;14050;4670;2670;141272889302;83793071393;57479817908;None
predictive.lstm-50;2000;1500;15687;11022;9022;107043321465;82095783075;24947538390;None
jit;2000;1500;14214;4672;2672;141169004228;83823287186;57345717041;None
predictive.lstm-50;2000;1000;11016;5750;3742;131414335115;84645917671;46768417444;None
jit;2000;1000;13693;4432;2432;143221923978;84037725668;59184198310;None
predictive.lstm-50;2000;500;10046;3102;1098;187536682337;95659168740;91877513597;None
jit;2000;500;11312;3648;1648;158094930093;91319074903;66775855190;None
